exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,1392,,920187,,0,2020-06-30 23:30:27.155,,2020-06-30 04:46:05.980,,,,60,46023,25,,,,1108.8499,,57.10001,705e6b86-5a2c-435d-88d4-3d3233dff461.extra_data.json,907787,31800000,705e6b86-5a2c-435d-88d4-3d3233dff461,2020-06-30 00:00:00.000
,5279,,3453434,,0,2019-07-22 03:53:44.096,,2019-07-21 04:00:08.428,,,,60,300000,95,,,,4031.2195,,215.65001,6d090685-60c1-4669-a099-41f7f153eee5.extra_data.json,3442634,30480000,6d090685-60c1-4669-a099-41f7f153eee5,2019-07-21 00:00:00.000
,1303,,867499,,0,2020-06-19 01:34:29.845,,2020-06-18 04:00:01.433,,,,60,45356,23,,,,1059.6798,,59.210003,2a342635-fec3-47d6-bc15-d9edc6b72ccc.extra_data.json,865099,32820000,2a342635-fec3-47d6-bc15-d9edc6b72ccc,2020-06-18 00:00:00.000
,2151,,1414906,,0,2020-03-09 02:25:43.559,,2020-03-08 03:51:35.342,,,,60,120000,38,,,,1721.4396,,87.35,1c5ba92d-cb8b-4057-944e-76120e83dc9f.extra_data.json,1399306,30540000,1c5ba92d-cb8b-4057-944e-76120e83dc9f,2020-03-08 00:00:00.000
,6660,,4030675,,0,2019-07-30 03:13:41.693,,2019-07-29 04:00:00.729,,,,60,420000,110,,,,5136.311,,274.71,3f2f0f40-2e88-4534-9191-6d20071f8ad8.extra_data.json,4009948,33120000,3f2f0f40-2e88-4534-9191-6d20071f8ad8,2019-07-29 00:00:00.000
,9416,,5628356,,0,2019-09-06 03:37:16.551,,2019-09-05 04:00:00.220,,,,60,420000,155,,,,7202.2285,,389.90988,c8f050b9-d3b7-4fb4-99ba-2cb7b82faeb8.extra_data.json,5603242,21540000,c8f050b9-d3b7-4fb4-99ba-2cb7b82faeb8,2019-09-05 00:00:00.000
,8021,,4813104,,0,2019-09-24 01:14:03.620,,2019-09-23 03:00:00.976,,,,60,600000,131,,,,6117.0806,,337.41995,37db0da6-c44d-4884-9cfb-96669271efe4.extra_data.json,4787364,21120000,37db0da6-c44d-4884-9cfb-96669271efe4,2019-09-23 00:00:00.000
,10056,,6157916,,0,2020-09-29 02:57:52.127,,2020-09-28 03:00:01.008,,,,60,902500,170,,,,7940.813,,417.1017,ce9494c6-72cb-4c02-843f-09b4359be0ec.extra_data.json,6153116,31620000,ce9494c6-72cb-4c02-843f-09b4359be0ec,2020-09-28 00:00:00.000
,748,,483011,,0,2019-06-24 02:43:40.854,,2019-06-23 04:00:01.973,,,,60,60000,13,,,,590.12,,29.16,1166b555-a390-4ab2-8a71-7bdb59f7bfd7.extra_data.json,482211,28440000,1166b555-a390-4ab2-8a71-7bdb59f7bfd7,2019-06-23 00:00:00.000
,786,,516361,,0,2019-11-24 01:57:27.526,,2019-11-23 03:00:01.294,,,,60,60000,13,,,,618.3501,,31.709995,fd72fbd0-da05-430a-8bda-81706bc4bd10.extra_data.json,515561,16680000,fd72fbd0-da05-430a-8bda-81706bc4bd10,2019-11-23 00:00:00.000
